countryId,countryName,scopeId,scopeName,groupLabel,itemLabel,areaId,areaName,areaDisplayName,areaGeojsonUrl,areaDataset,areaWhereField,areaBoundaryCode,divisionId,divisionName,divisionDisplayName,divisionGeojsonUrl,divisionDataset,divisionWhereField,divisionBoundaryCode,directoryPath,memberName,memberParty,memberParliament,memberChamber,memberEmail,memberPhone,electorateOfficeAddress,website,notes
australia,Australia,federal,Federal Parliament,State or Territory,Federal Division,nsw,New South Wales,New South Wales,https://geo.abs.gov.au/arcgis/rest/services/ASGS2021/STE/FeatureServer/1/query?where=state_code_2021%3D%271%27&outFields=state_code_2021%2Cstate_name_2021&returnGeometry=true&outSR=4326&f=geojson,STE,state_code_2021,1,banks,Banks,Banks,https://geo.abs.gov.au/arcgis/rest/services/ASGS2025/CED/MapServer/0/query?where=ced_code_2025%3D%27101%27&outFields=CED_CODE_2025%2CCED_NAME_2025&returnGeometry=true&outSR=4326&f=geojson,CED,ced_code_2025,101,/australia/federal/nsw/banks,,,Federal Parliament,House of Representatives,,,,,
australia,Australia,federal,Federal Parliament,State or Territory,Federal Division,nsw,New South Wales,New South Wales,https://geo.abs.gov.au/arcgis/rest/services/ASGS2021/STE/FeatureServer/1/query?where=state_code_2021%3D%271%27&outFields=state_code_2021%2Cstate_name_2021&returnGeometry=true&outSR=4326&f=geojson,STE,state_code_2021,1,barton,Barton,Barton,https://geo.abs.gov.au/arcgis/rest/services/ASGS2025/CED/MapServer/0/query?where=ced_code_2025%3D%27102%27&outFields=CED_CODE_2025%2CCED_NAME_2025&returnGeometry=true&outSR=4326&f=geojson,CED,ced_code_2025,102,/australia/federal/nsw/barton,,,Federal Parliament,House of Representatives,,,,,
australia,Australia,federal,Federal Parliament,State or Territory,Federal Division,nsw,New South Wales,New South Wales,https://geo.abs.gov.au/arcgis/rest/services/ASGS2021/STE/FeatureServer/1/query?where=state_code_2021%3D%271%27&outFields=state_code_2021%2Cstate_name_2021&returnGeometry=true&outSR=4326&f=geojson,STE,state_code_2021,1,bennelong,Bennelong,Bennelong,https://geo.abs.gov.au/arcgis/rest/services/ASGS2025/CED/MapServer/0/query?where=ced_code_2025%3D%27103%27&outFields=CED_CODE_2025%2CCED_NAME_2025&returnGeometry=true&outSR=4326&f=geojson,CED,ced_code_2025,103,/australia/federal/nsw/bennelong,,,Federal Parliament,House of Representatives,,,,,
australia,Australia,federal,Federal Parliament,State or Territory,Federal Division,nsw,New South Wales,New South Wales,https://geo.abs.gov.au/arcgis/rest/services/ASGS2021/STE/FeatureServer/1/query?where=state_code_2021%3D%271%27&outFields=state_code_2021%2Cstate_name_2021&returnGeometry=true&outSR=4326&f=geojson,STE,state_code_2021,1,berowra,Berowra,Berowra,https://geo.abs.gov.au/arcgis/rest/services/ASGS2025/CED/MapServer/0/query?where=ced_code_2025%3D%27104%27&outFields=CED_CODE_2025%2CCED_NAME_2025&returnGeometry=true&outSR=4326&f=geojson,CED,ced_code_2025,104,/australia/federal/nsw/berowra,,,Federal Parliament,House of Representatives,,,,,
australia,Australia,federal,Federal Parliament,State or Territory,Federal Division,nsw,New South Wales,New South Wales,https://geo.abs.gov.au/arcgis/rest/services/ASGS2021/STE/FeatureServer/1/query?where=state_code_2021%3D%271%27&outFields=state_code_2021%2Cstate_name_2021&returnGeometry=true&outSR=4326&f=geojson,STE,state_code_2021,1,blaxland,Blaxland,Blaxland,https://geo.abs.gov.au/arcgis/rest/services/ASGS2025/CED/MapServer/0/query?where=ced_code_2025%3D%27105%27&outFields=CED_CODE_2025%2CCED_NAME_2025&returnGeometry=true&outSR=4326&f=geojson,CED,ced_code_2025,105,/australia/federal/nsw/blaxland,,,Federal Parliament,House of Representatives,,,,,
australia,Australia,federal,Federal Parliament,State or Territory,Federal Division,nsw,New South Wales,New South Wales,https://geo.abs.gov.au/arcgis/rest/services/ASGS2021/STE/FeatureServer/1/query?where=state_code_2021%3D%271%27&outFields=state_code_2021%2Cstate_name_2021&returnGeometry=true&outSR=4326&f=geojson,STE,state_code_2021,1,bradfield,Bradfield,Bradfield,https://geo.abs.gov.au/arcgis/rest/services/ASGS2025/CED/MapServer/0/query?where=ced_code_2025%3D%27106%27&outFields=CED_CODE_2025%2CCED_NAME_2025&returnGeometry=true&outSR=4326&f=geojson,CED,ced_code_2025,106,/australia/federal/nsw/bradfield,,,Federal Parliament,House of Representatives,,,,,
australia,Australia,federal,Federal Parliament,State or Territory,Federal Division,nsw,New South Wales,New South Wales,https://geo.abs.gov.au/arcgis/rest/services/ASGS2021/STE/FeatureServer/1/query?where=state_code_2021%3D%271%27&outFields=state_code_2021%2Cstate_name_2021&returnGeometry=true&outSR=4326&f=geojson,STE,state_code_2021,1,calare,Calare,Calare,https://geo.abs.gov.au/arcgis/rest/services/ASGS2025/CED/MapServer/0/query?where=ced_code_2025%3D%27107%27&outFields=CED_CODE_2025%2CCED_NAME_2025&returnGeometry=true&outSR=4326&f=geojson,CED,ced_code_2025,107,/australia/federal/nsw/calare,,,Federal Parliament,House of Representatives,,,,,
australia,Australia,federal,Federal Parliament,State or Territory,Federal Division,nsw,New South Wales,New South Wales,https://geo.abs.gov.au/arcgis/rest/services/ASGS2021/STE/FeatureServer/1/query?where=state_code_2021%3D%271%27&outFields=state_code_2021%2Cstate_name_2021&returnGeometry=true&outSR=4326&f=geojson,STE,state_code_2021,1,chifley,Chifley,Chifley,https://geo.abs.gov.au/arcgis/rest/services/ASGS2025/CED/MapServer/0/query?where=ced_code_2025%3D%27108%27&outFields=CED_CODE_2025%2CCED_NAME_2025&returnGeometry=true&outSR=4326&f=geojson,CED,ced_code_2025,108,/australia/federal/nsw/chifley,,,Federal Parliament,House of Representatives,,,,,
australia,Australia,federal,Federal Parliament,State or Territory,Federal Division,nsw,New South Wales,New South Wales,https://geo.abs.gov.au/arcgis/rest/services/ASGS2021/STE/FeatureServer/1/query?where=state_code_2021%3D%271%27&outFields=state_code_2021%2Cstate_name_2021&returnGeometry=true&outSR=4326&f=geojson,STE,state_code_2021,1,cook,Cook,Cook,https://geo.abs.gov.au/arcgis/rest/services/ASGS2025/CED/MapServer/0/query?where=ced_code_2025%3D%27109%27&outFields=CED_CODE_2025%2CCED_NAME_2025&returnGeometry=true&outSR=4326&f=geojson,CED,ced_code_2025,109,/australia/federal/nsw/cook,,,Federal Parliament,House of Representatives,,,,,
australia,Australia,federal,Federal Parliament,State or Territory,Federal Division,nsw,New South Wales,New South Wales,https://geo.abs.gov.au/arcgis/rest/services/ASGS2021/STE/FeatureServer/1/query?where=state_code_2021%3D%271%27&outFields=state_code_2021%2Cstate_name_2021&returnGeometry=true&outSR=4326&f=geojson,STE,state_code_2021,1,cowper,Cowper,Cowper,https://geo.abs.gov.au/arcgis/rest/services/ASGS2025/CED/MapServer/0/query?where=ced_code_2025%3D%27110%27&outFields=CED_CODE_2025%2CCED_NAME_2025&returnGeometry=true&outSR=4326&f=geojson,CED,ced_code_2025,110,/australia/federal/nsw/cowper,,,Federal Parliament,House of Representatives,,,,,
australia,Australia,federal,Federal Parliament,State or Territory,Federal Division,nsw,New South Wales,New South Wales,https://geo.abs.gov.au/arcgis/rest/services/ASGS2021/STE/FeatureServer/1/query?where=state_code_2021%3D%271%27&outFields=state_code_2021%2Cstate_name_2021&returnGeometry=true&outSR=4326&f=geojson,STE,state_code_2021,1,cunningham,Cunningham,Cunningham,https://geo.abs.gov.au/arcgis/rest/services/ASGS2025/CED/MapServer/0/query?where=ced_code_2025%3D%27111%27&outFields=CED_CODE_2025%2CCED_NAME_2025&returnGeometry=true&outSR=4326&f=geojson,CED,ced_code_2025,111,/australia/federal/nsw/cunningham,,,Federal Parliament,House of Representatives,,,,,
australia,Australia,federal,Federal Parliament,State or Territory,Federal Division,nsw,New South Wales,New South Wales,https://geo.abs.gov.au/arcgis/rest/services/ASGS2021/STE/FeatureServer/1/query?where=state_code_2021%3D%271%27&outFields=state_code_2021%2Cstate_name_2021&returnGeometry=true&outSR=4326&f=geojson,STE,state_code_2021,1,dobell,Dobell,Dobell,https://geo.abs.gov.au/arcgis/rest/services/ASGS2025/CED/MapServer/0/query?where=ced_code_2025%3D%27112%27&outFields=CED_CODE_2025%2CCED_NAME_2025&returnGeometry=true&outSR=4326&f=geojson,CED,ced_code_2025,112,/australia/federal/nsw/dobell,,,Federal Parliament,House of Representatives,,,,,
australia,Australia,federal,Federal Parliament,State or Territory,Federal Division,nsw,New South Wales,New South Wales,https://geo.abs.gov.au/arcgis/rest/services/ASGS2021/STE/FeatureServer/1/query?where=state_code_2021%3D%271%27&outFields=state_code_2021%2Cstate_name_2021&returnGeometry=true&outSR=4326&f=geojson,STE,state_code_2021,1,eden-monaro,Eden-Monaro,Eden-Monaro,https://geo.abs.gov.au/arcgis/rest/services/ASGS2025/CED/MapServer/0/query?where=ced_code_2025%3D%27113%27&outFields=CED_CODE_2025%2CCED_NAME_2025&returnGeometry=true&outSR=4326&f=geojson,CED,ced_code_2025,113,/australia/federal/nsw/eden-monaro,,,Federal Parliament,House of Representatives,,,,,
australia,Australia,federal,Federal Parliament,State or Territory,Federal Division,nsw,New South Wales,New South Wales,https://geo.abs.gov.au/arcgis/rest/services/ASGS2021/STE/FeatureServer/1/query?where=state_code_2021%3D%271%27&outFields=state_code_2021%2Cstate_name_2021&returnGeometry=true&outSR=4326&f=geojson,STE,state_code_2021,1,farrer,Farrer,Farrer,https://geo.abs.gov.au/arcgis/rest/services/ASGS2025/CED/MapServer/0/query?where=ced_code_2025%3D%27114%27&outFields=CED_CODE_2025%2CCED_NAME_2025&returnGeometry=true&outSR=4326&f=geojson,CED,ced_code_2025,114,/australia/federal/nsw/farrer,,,Federal Parliament,House of Representatives,,,,,
australia,Australia,federal,Federal Parliament,State or Territory,Federal Division,nsw,New South Wales,New South Wales,https://geo.abs.gov.au/arcgis/rest/services/ASGS2021/STE/FeatureServer/1/query?where=state_code_2021%3D%271%27&outFields=state_code_2021%2Cstate_name_2021&returnGeometry=true&outSR=4326&f=geojson,STE,state_code_2021,1,fowler,Fowler,Fowler,https://geo.abs.gov.au/arcgis/rest/services/ASGS2025/CED/MapServer/0/query?where=ced_code_2025%3D%27115%27&outFields=CED_CODE_2025%2CCED_NAME_2025&returnGeometry=true&outSR=4326&f=geojson,CED,ced_code_2025,115,/australia/federal/nsw/fowler,,,Federal Parliament,House of Representatives,,,,,
australia,Australia,federal,Federal Parliament,State or Territory,Federal Division,nsw,New South Wales,New South Wales,https://geo.abs.gov.au/arcgis/rest/services/ASGS2021/STE/FeatureServer/1/query?where=state_code_2021%3D%271%27&outFields=state_code_2021%2Cstate_name_2021&returnGeometry=true&outSR=4326&f=geojson,STE,state_code_2021,1,gilmore,Gilmore,Gilmore,https://geo.abs.gov.au/arcgis/rest/services/ASGS2025/CED/MapServer/0/query?where=ced_code_2025%3D%27116%27&outFields=CED_CODE_2025%2CCED_NAME_2025&returnGeometry=true&outSR=4326&f=geojson,CED,ced_code_2025,116,/australia/federal/nsw/gilmore,,,Federal Parliament,House of Representatives,,,,,
australia,Australia,federal,Federal Parliament,State or Territory,Federal Division,nsw,New South Wales,New South Wales,https://geo.abs.gov.au/arcgis/rest/services/ASGS2021/STE/FeatureServer/1/query?where=state_code_2021%3D%271%27&outFields=state_code_2021%2Cstate_name_2021&returnGeometry=true&outSR=4326&f=geojson,STE,state_code_2021,1,grayndler,Grayndler,Grayndler,https://geo.abs.gov.au/arcgis/rest/services/ASGS2025/CED/MapServer/0/query?where=ced_code_2025%3D%27117%27&outFields=CED_CODE_2025%2CCED_NAME_2025&returnGeometry=true&outSR=4326&f=geojson,CED,ced_code_2025,117,/australia/federal/nsw/grayndler,,,Federal Parliament,House of Representatives,,,,,
australia,Australia,federal,Federal Parliament,State or Territory,Federal Division,nsw,New South Wales,New South Wales,https://geo.abs.gov.au/arcgis/rest/services/ASGS2021/STE/FeatureServer/1/query?where=state_code_2021%3D%271%27&outFields=state_code_2021%2Cstate_name_2021&returnGeometry=true&outSR=4326&f=geojson,STE,state_code_2021,1,greenway,Greenway,Greenway,https://geo.abs.gov.au/arcgis/rest/services/ASGS2025/CED/MapServer/0/query?where=ced_code_2025%3D%27118%27&outFields=CED_CODE_2025%2CCED_NAME_2025&returnGeometry=true&outSR=4326&f=geojson,CED,ced_code_2025,118,/australia/federal/nsw/greenway,,,Federal Parliament,House of Representatives,,,,,
australia,Australia,federal,Federal Parliament,State or Territory,Federal Division,nsw,New South Wales,New South Wales,https://geo.abs.gov.au/arcgis/rest/services/ASGS2021/STE/FeatureServer/1/query?where=state_code_2021%3D%271%27&outFields=state_code_2021%2Cstate_name_2021&returnGeometry=true&outSR=4326&f=geojson,STE,state_code_2021,1,hughes,Hughes,Hughes,https://geo.abs.gov.au/arcgis/rest/services/ASGS2025/CED/MapServer/0/query?where=ced_code_2025%3D%27119%27&outFields=CED_CODE_2025%2CCED_NAME_2025&returnGeometry=true&outSR=4326&f=geojson,CED,ced_code_2025,119,/australia/federal/nsw/hughes,,,Federal Parliament,House of Representatives,,,,,
australia,Australia,federal,Federal Parliament,State or Territory,Federal Division,nsw,New South Wales,New South Wales,https://geo.abs.gov.au/arcgis/rest/services/ASGS2021/STE/FeatureServer/1/query?where=state_code_2021%3D%271%27&outFields=state_code_2021%2Cstate_name_2021&returnGeometry=true&outSR=4326&f=geojson,STE,state_code_2021,1,hume,Hume,Hume,https://geo.abs.gov.au/arcgis/rest/services/ASGS2025/CED/MapServer/0/query?where=ced_code_2025%3D%27120%27&outFields=CED_CODE_2025%2CCED_NAME_2025&returnGeometry=true&outSR=4326&f=geojson,CED,ced_code_2025,120,/australia/federal/nsw/hume,,,Federal Parliament,House of Representatives,,,,,
